4944	1/3/2003
6957	1/4/2003
4472	1/5/2003
1691	1/6/2003
1865	1/7/2003
1855	1/8/2003
1908	1/9/2003
4544	1/10/2003
6892	1/11/2003
4282	1/12/2003
1448	1/13/2003
1771	1/14/2003
1680	1/15/2003
1760	1/16/2003
3539	1/17/2003
5871	1/18/2003
4120	1/19/2003
3845	1/20/2003
1709	1/21/2003
1548	1/22/2003
1661	1/23/2003
4141	1/24/2003
6221	1/25/2003
2757	1/26/2003
1123	1/27/2003
1354	1/28/2003
1299	1/29/2003
1385	1/30/2003
3149	1/31/2003
5056	2/1/2003
3146	2/2/2003
774	2/3/2003
1026	2/4/2003
1019	2/5/2003
1010	2/6/2003
1606	2/7/2003
2719	2/8/2003
1540	2/9/2003
412	2/10/2003
606	2/11/2003
647	2/12/2003
652	2/13/2003
1762	2/14/2003
2280	2/15/2003
1548	2/16/2003
791	2/17/2003
492	2/18/2003
434	2/19/2003
475	2/20/2003
1092	2/21/2003
1561	2/22/2003
898	2/23/2003
248	2/24/2003
332	2/25/2003
307	2/26/2003
332	2/27/2003
898	2/28/2003
1508	3/1/2003
811	3/2/2003
261	3/3/2003
317	3/4/2003
277	3/5/2003
284	3/6/2003
691	3/7/2003
1199	3/8/2003
743	3/9/2003
296	3/10/2003
346	3/11/2003
329	3/12/2003
317	3/13/2003
767	3/14/2003
1236	3/15/2003
745	3/16/2003
243	3/17/2003
327	3/18/2003
294	3/19/2003
296	3/20/2003
698	3/21/2003
1142	3/22/2003
585	3/23/2003
326	3/24/2003
363	3/25/2003
331	3/26/2003
343	3/27/2003
764	3/28/2003
1218	3/29/2003
687	3/30/2003
207	3/31/2003
224	4/1/2003
207	4/2/2003
204	4/3/2003
614	4/4/2003
1012	4/5/2003
529	4/6/2003
149	4/7/2003
189	4/8/2003
185	4/9/2003
185	4/10/2003
459	4/11/2003
722	4/12/2003
351	4/13/2003
139	4/14/2003
158	4/15/2003
159	4/16/2003
196	4/17/2003
510	4/18/2003
